name,category,views,ingredients,method,garnish,image_url,url
Monkey Gland,The unforgettables,86.7K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-monkey-gland-6694911cbf5a2.webp,https://iba-world.com/iba-cocktail/monkey-gland/
Moscow Mule,Contemporary Classics,130.8K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-moscow-mule-6695cdc7d8cb2.webp,https://iba-world.com/iba-cocktail/moscow-mule/
Naked and Famous,New Era,105.7K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-naked-and-famous-6695d3ae8e1dc.webp,https://iba-world.com/iba-cocktail/naked-and-famous/
Negroni,The unforgettables,147.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-negroni-6694911cc3b65.webp,https://iba-world.com/iba-cocktail/negroni/
New York Sour,New Era,94.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-new-york-sour-6695d3ae88cd2.webp,https://iba-world.com/iba-cocktail/new-york-sour/
Old Cuban,New Era,74.7K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-old-cuban-6695d3b18c692.webp,https://iba-world.com/iba-cocktail/old-cuban/
Old Fashioned,The unforgettables,189.5K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-old-fashioned-6694911fce360.webp,https://iba-world.com/iba-cocktail/old-fashioned/
Paloma,New Era,128.2K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-paloma-6695d3b19cda4.webp,https://iba-world.com/iba-cocktail/paloma/
Paper Plane,New Era,119.2K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-paper-plane-6695d3b4745eb.webp,https://iba-world.com/iba-cocktail/paper-plane/
Paradise,The unforgettables,64.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-paradise-6694911fdbd4b.webp,https://iba-world.com/iba-cocktail/paradise/
Penicillin,New Era,105.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-penicillin-6695d3b47b79f.webp,https://iba-world.com/iba-cocktail/penicillin/
Pina Colada,Contemporary Classics,151.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-pina-colada-6695cdcabbf00.webp,https://iba-world.com/iba-cocktail/pina-colada/
Pisco Punch,New Era,75.4K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-pisco-punch-6695d3b74b9f5.webp,https://iba-world.com/iba-cocktail/pisco-punch/
